code,earnings_month,announcement_date
8131,202512,20260107
5351,202512,20260107
2337,202511,20260107
7728,202511,20260106
3264,202511,20260106
3363,202511,20260106
2408,202511,20260105
2027,202511,20260105
6265,202511,20260105
8068,202511,20260105
3308,202511,20260102
3135,202511,20260102
9938,202511,20260102
5475,202511,20260102
4967,202511,20260102
3260,202511,20260102
3444,202511,20260102
3481,202511,20251231
1721,202511,20251231
2493,202511,20251231
8438,202511,20251231
8358,202511,20251230
8299,202511,20251215
3006,202511,20251229
2344,202510,20251209
6770,202511,20251223
3092,202511,20251230
8422,202511,20251212
4304,202511,20251230
6116,202512,20260108
3623,202511,20260108
2409,202511,20260108
1717,202511,20260108
8105,202511,20260108
3163,202511,20260108
8110,202510,20251212
1789,202511,20260109
2025,202511,20260109
2451,202511,20260109
2344,202511,20260109
9103,202511,20260109
6531,202511,20260112
4772,202511,20260112
8996,202511,20251223
6442,202511,20251218
8021,202511,20251201
8033,202511,20251223
3491,202511,20251215
7402,202511,20251230
8043,202511,20251229
5291,202512,20260113
8088,202511,20260113
8021,202512,20260113
6443,202511,20251211
7610,202511,20251230
8038,202512,20260114
2313,202512,20260114
8422,202512,20260114
3669,202511,20260114
2367,202511,20260114
3138,202512,20260114
2406,202511,20260114
3693,202512,20260114
6443,202511,20260114
4768,202511,20251218
8476,202512,20260115
2305,202512,20260115
2419,202511,20260115
6969,202512,20260115
2485,202512,20260115
9955,202511,20260115
2312,202512,20260116
6641,202511,20260116
6282,202511,20260116
6155,202511,20260116
2455,202511,20260116
4991,202511,20260116
6163,202512,20260116
2484,202512,20260116
4989,202511,20251230
1519,202512,20260119
6152,202512,20260119
8150,202511,20260119
6834,202512,20260119
6239,202511,20260119
5228,202511,20260119
8042,202511,20260119
1528,202511,20251230
3432,202511,20260120
8046,202512,20260120
3691,202512,20260120
3037,202512,20260120
5340,202512,20260120
6226,202512,20260120
6265,202512,20260120
3535,202510,20251202
5498,202511,20251223
1802,202511,20260121
3049,202511,20260121
1526,202512,20260121
5475,202512,20260121
3535,202512,20260121
1815,202512,20260121
8043,202512,20260121
5498,202512,20260121
1809,202512,20260121
5328,202511,20260121
4971,202512,20260122
