上櫃公布注意有價證券資訊 
期間:115/01/02~115/01/07，查詢範圍:全部上櫃有價證券
編號,證券代號,證券名稱,注意交易資訊,公告日期,收盤價,本益比
"1","23372","旺宏二","最近六個營業日(含當日)累積之最後成交價漲幅達42.53%(第一款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達160.64%(第二款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣81元(第十一款)","115/01/07","251.00","N/A"
"2","30061","晶豪科一","最近六個營業日(含當日)累積之最後成交價漲幅達32.74%(第一款)","115/01/07","175.00","N/A"
"3","3131","弘塑","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣280元(第十一款)","115/01/07","1825.00","52.46"
"4","3163","波若威","當日本益比為73.15、股價淨值比為10.76且為其所屬產業類別股價淨值比之2.43倍、當日週轉率達11.61%(第六款)","115/01/07","376.00","73.15"
"5","3623","富晶通","最近六個營業日(含當日)累積之最後成交價漲幅達31.03%(第一款)當日之成交量較最近六十個營業日日平均成交量放大7.5倍(第三款)","115/01/07","28.75","N/A"
"6","4167","松瑞藥","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達10.56%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為4倍(第十二款)","115/01/07","17.45","10.91"
"7","5245","智晶","最近六個營業日(含當日)累積之最後成交價漲幅達36.19%(第一款)當日之成交量較最近六十個營業日日平均成交量放大19.98倍(第三款)當日週轉率達5.12%(第四款)凱基證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為37.54%(第五款)","115/01/07","29.65","N/A"
"8","5289","宜鼎","最近六個營業日(含當日)累積之最後成交價漲幅達24.43%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣131元(第一款)","115/01/07","655.00","43.46"
"9","5291","邑昇","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.86倍，當日成交量較最近六十個營業日之日平均成交量放大為13.54倍(第九款)","115/01/07","35.10","117.00"
"10","5351","鈺創","最近六個營業日(含當日)累積之最後成交價漲幅達32.8%(第一款)","115/01/07","61.00","N/A"
"11","6244","茂迪","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達9.62%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為5倍(第十二款)","115/01/07","22.10","59.73"
"12","6265","方土昶","最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達176.67%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達218.18%(第二款)","115/01/07","35.00","N/A"
"13","6485","點序","最近六個營業日(含當日)累積之最後成交價漲幅達27.91%，當日週轉率達10.79%(第四款)","115/01/07","102.00","N/A"
"14","6643","M31","當日本益比為N/A、股價淨值比為10.49且為其所屬產業類別股價淨值比之3.01倍、當日週轉率達5.32%、凱基證券公司當日買進該有價證券之成交金額達2.5億元，且占當日該有價證券之總成交金額25.65%(第六款)","115/01/07","451.50","N/A"
"15","7728","光焱科技","最近六個營業日(含當日)累積之最後成交價漲幅達31.07%(第一款)","115/01/07","613.00","188.62"
"16","8299","群聯","最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達247%(第二款)","115/01/07","1675.00","53.23"
"17","82992","群聯二","最近六個營業日(含當日)累積之最後成交價漲幅達23.8%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣61元(第一款)","115/01/07","307.00","N/A"
"18","8358","金居","當日本益比為76.22、股價淨值比為9.41且為其所屬產業類別股價淨值比之3.07倍、當日週轉率達5.7%(第六款)","115/01/07","266.00","76.22"
"19","23372","旺宏二","最近六個營業日(含當日)累積之最後成交價漲幅達31.17%(第一款)","115/01/06","229.00","N/A"
"20","30061","晶豪科一","最近六個營業日(含當日)累積之最後成交價漲幅達28.84%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣46.5元(第一款)","115/01/06","174.00","N/A"
"21","3163","波若威","當日本益比為74.32、股價淨值比為10.93且為其所屬產業類別股價淨值比之2.48倍、當日週轉率達14.1%、元大證券公司當日買進該有價證券之成交金額達10.95億元，且占當日該有價證券之總成交金額25.23%(第六款)","115/01/06","382.00","74.32"
"22","3260","威剛","最近六個營業日(含當日)累積之最後成交價漲幅達27.57%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣48元(第一款)","115/01/06","289.00","27.14"
"23","3623","富晶通","最近六個營業日(含當日)累積之最後成交價漲幅達35.08%(第一款)當日之成交量較最近六十個營業日日平均成交量放大27.67倍(第三款)當日週轉率達13.23%(第四款)元大證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為30.24%，元大證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為32.81%(第五款)","115/01/06","30.40","N/A"
"24","3680","家登","最近六個營業日(含當日)累積之最後成交價漲幅達27.71%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣91元(第一款)當日之成交量較最近六十個營業日日平均成交量放大6.15倍(第三款)當日週轉率達9.93%(第四款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣91元(第十一款)","115/01/06","428.00","62.12"
"25","4304","勝昱","最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達261.82%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達326.7%(第二款)","115/01/06","32.60","N/A"
