"公布注意有價證券資訊 (115年01月02日 至 115年01月07日 全部上市有價證券)"
"編號","證券代號","證券名稱","累計次數","注意交易資訊","日期","收盤價","本益比",
"1","1304","台聚","1",="01月02日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率14.51%，且01月02日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.34倍﹝第十二款﹞","115.01.05","10.45     ","-----     ",
"2","1528","恩德","1","最近六個營業日累積收盤價漲幅達33.33%﹝第一款﹞。","115.01.02","22.80     ","-----     ",
"3","1713","國化","1","最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.08倍。當日之成交量較最近六十個營業日之平均成交量放大為 19.86倍﹝第九款﹞。","115.01.07","51.50     ","5.20      ",
"4","1717","長興","1","最近六個營業日累積收盤價漲幅達32.04%﹝第一款﹞。且01月07日之成交量為最近六十個營業日日平均成交量之10.12 倍﹝第三款﹞。且01月07日之週轉率為10.86%﹝第四款﹞。","115.01.07","55.70     ","36.89     ",
"5","1721","三晃","1","最近六個營業日累積收盤價漲幅達29.58%。且01月02日之成交量為最近六十個營業日日平均成交量之9.51倍﹝第三款﹞。且01月02日富邦證券商賣出之比率為39.13%﹝第五款﹞。","115.01.02","17.35     ","-----     ",
"6","1727","中華化","1","最近六個營業日之累積週轉率為60.40%。且01月06日之週轉率為21.40%﹝第十款﹞。","115.01.06","48.65     ","486.50    ",
"7","2027","大成鋼","2",="01月02日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率22.71%，且01月02日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.70倍﹝第十二款﹞","115.01.05","35.00     ","13.57     ",
"7","2027","大成鋼","2","12月31日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率21.06%，且12月31日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為6.11倍﹝第十二款﹞","115.01.02","35.85     ","13.90     ",
"8","2059","川湖","1","六個營業日起迄兩個營業日收盤價價差達485.00元且當日收盤價為最近六個營業日收盤價最低者﹝第十一款﹞","115.01.05","3205.00   ","36.02     ",
"9","2337","旺宏","2","最近六個營業日累積收盤價漲幅達43.04%﹝第一款﹞。且01月07日之週轉率為24.25%﹝第四款﹞。最近九十個營業日起迄兩個營業日之收盤價漲幅達182.35% ﹝第二款﹞。","115.01.07","57.60     ","-----     ",
"9","2337","旺宏","2","最近六個營業日累積收盤價漲幅達30.45%。且01月06日之週轉率為19.64%﹝第四款﹞。最近九十個營業日起迄兩個營業日之收盤價漲幅達160.04% ﹝第二款﹞。","115.01.06","52.40     ","-----     ",
"10","2344","華邦電","4","最近六個營業日累積收盤價漲幅達33.92%﹝第一款﹞。最近六十個營業日起迄兩個營業日之收盤價漲幅達147.67% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達437.87% ﹝第二款﹞。01月06日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率62.43%，且01月06日當日沖銷成交量占該日總成交量比率71.42%﹝第十三款﹞","115.01.07","106.50    ","-----     ",
"10","2344","華邦電","4","最近六個營業日累積收盤價漲幅達32.04%﹝第一款﹞。最近六十個營業日起迄兩個營業日之收盤價漲幅達139.35% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達454.66% ﹝第二款﹞。","115.01.06","104.00    ","-----     ",
"10","2344","華邦電","4","最近六十個營業日起迄兩個營業日之收盤價漲幅達131.51% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達419.02% ﹝第二款﹞。","115.01.05","95.50     ","-----     ",
"10","2344","華邦電","4","最近九十個營業日起迄兩個營業日之收盤價漲幅達398.90% ﹝第二款﹞。","115.01.02","90.80     ","-----     ",
"11","2360","致茂","1","六個營業日起迄兩個營業日收盤價價差達132.00元且當日收盤價為最近六個營業日收盤價最高者﹝第十一款﹞","115.01.07","922.00    ","36.79     ",
"12","2408","南亞科","3","最近六十個營業日起迄兩個營業日之收盤價漲幅達152.09% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達404.18% ﹝第二款﹞。","115.01.07","241.00    ","-----     ",
"12","2408","南亞科","3","最近六十個營業日起迄兩個營業日之收盤價漲幅達131.97% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達381.55% ﹝第二款﹞。","115.01.06","228.50    ","-----     ",
"12","2408","南亞科","3","最近九十個營業日起迄兩個營業日之收盤價漲幅達356.44% ﹝第二款﹞。","115.01.02","207.00    ","-----     ",
